size,arch,params_M,tke_rse_nsp,tke_rse_vqvae,ens_rse_nsp,ens_rse_vqvae,emd_nsp,emd_vqvae,collapse_rate
small,s06,6.04,0.8926273266404097,0.798751971161928,0.893689509773129,0.7987988223369482,0.8124870110399918,0.3995203358669038,1.0
small,s09,9.11,0.8683674150230993,0.7987519711486303,0.8690487396191418,0.7987988223230306,0.3219623405648777,0.3995203353375251,0.0
small,s13,12.65,0.886567940652917,0.7987519711486303,0.887372483276213,0.7987988223230306,0.18902343563261145,0.3995203353375251,0.0
small,s18,17.96,0.887237863275571,0.7987519711486303,0.887806589165945,0.7987988223230306,0.3321656835637975,0.3995203353375251,0.0
small,s24,24.04,0.898217678906767,0.7987517626520008,0.8981094845420078,0.7987986151479889,0.24839619347765732,0.39952209951829715,0.0
medium,s06,6.04,0.8447739988543136,0.759471658531005,0.8454138929833522,0.7594559924557457,0.3251363567523451,0.2254469332791052,0.0
medium,s09,9.11,0.8214491054465898,0.7594716369739665,0.8217113881201301,0.7594559707055398,0.3253830452632027,0.22544715088735776,0.0
medium,s13,12.65,0.8460926695326558,0.7594717266663726,0.8467839779491063,0.7594560689975663,0.15162080714497975,0.2254470396769352,0.0
medium,s18,17.96,0.8573752526927837,0.7594716458821285,0.8575799518343069,0.7594559794823856,0.1267062756127117,0.22544752083778924,0.0
medium,s24,24.04,0.8589897074119047,0.759471658531005,0.8591332673494719,0.7594559924557457,0.19208070640788769,0.2254469332791052,0.0
large,s06,6.04,0.7959082556930939,0.7454956487965458,0.7969001201945534,0.7454184614625584,0.1832476849584111,0.21914733903265268,0.0
large,s09,9.11,0.7809915156954681,0.7454957386573653,0.7814771742297323,0.7454185513681945,0.2947391393978296,0.2191455222702081,0.0
large,s13,12.65,0.8032864766425131,0.7454956658068147,0.8049784550653469,0.7454184789905239,0.2147603422331838,0.2191468060254332,0.0
large,s24,24.04,0.8201293444447739,0.7454955330591361,0.8204095359480434,0.7454183436485076,0.21483385864250903,0.21914871005325093,0.0
