size,arch,params_M,cross_entropy,pixel_rmse,tke_rse_nsp,ens_rse_nsp,emd_nsp,ood_rate_mean
small,s13,13.32,3.414915681660563,2.883921384811402,0.5970643668104483,0.5972080515916074,0.3423429266382809,0.0
small,s22,22.18,2.743927595435291,2.7878921031951904,0.5944833190637838,0.5946278058231362,0.3477461524025732,0.0
small,s34,34.14,2.5556447152914914,2.755661725997925,0.5936124690043691,0.5937514991959625,0.34811345932438875,0.0
small,s50,50.07,2.0545079044964147,2.666909694671631,0.5900331197174697,0.5901812873938812,0.3512683732224701,0.0
small,s74,73.68,1.7305649033542154,2.6368114948272705,0.5911129511921812,0.5912589096443079,0.346544182862158,0.0
medium,s13,13.32,3.253218423252764,2.700636863708496,0.6672208094011907,0.6671612568264199,0.25819277503270954,0.0
medium,s22,22.18,2.5983032539762694,2.5772204399108887,0.6593036088610359,0.6592474114642309,0.2499325833576128,0.0
medium,s34,34.14,2.554915349801938,2.579953908920288,0.6611458709494137,0.6610862080831408,0.2512452536689615,0.0
medium,s50,50.07,2.001311999371554,2.492851972579956,0.6574532133633899,0.6573902119821532,0.24355188524105964,0.0
medium,s74,73.68,1.6400893314770904,2.4445292949676514,0.6563054312814234,0.6562446167245851,0.24162433019205215,0.0
large,s13,13.32,2.899365262307782,2.673621654510498,0.6774891682820934,0.677290385617852,0.13943647458288644,0.0
large,s22,22.18,2.3766735313295304,2.592524528503418,0.6734966855187849,0.6733021970932553,0.1337331691513016,0.0
large,s34,34.14,2.217710620823832,2.5737152099609375,0.6729931367445061,0.6728019358196465,0.13308833111867782,0.0
large,s50,50.07,1.5959070618001148,2.494091749191284,0.6704615450648121,0.6702659047532512,0.13260446291418107,0.0
large,s74,73.68,1.39081610358316,2.474506378173828,0.6703605184216667,0.6701712703044144,0.1312925269109263,0.0
