size,sc,arch,arm,emd,best_T_emd,gap,floor,ratio_to_floor,collapse_thr,collapsed,collapse_rate
large,sc1941,s139,etmodel,0.928798120693534,0.15650048195560784,0.7722976387379261,0.056480780486145826,16.444498689626975,0.11296156097229165,True,1
large,sc1941,s139,etpool,0.6425692205594585,0.15650048195560784,0.4860687386038507,0.056480780486145826,11.37677657831011,0.11296156097229165,True,1
large,sc1941,s139,etpos,0.6125801053215127,0.15650048195560784,0.4560796233659049,0.056480780486145826,10.845815161349842,0.11296156097229165,True,1
large,sc1941,s139,tophabs,0.8404643923232971,0.15650048195560784,0.6839639103676892,0.056480780486145826,14.880537858882008,0.11296156097229165,True,1
large,sc1941,s139,typical,0.8761958985024192,0.15650048195560784,0.7196954165468114,0.056480780486145826,15.513169098598794,0.11296156097229165,True,1
large,sc1941,s139,minp,0.9213286950608244,0.15650048195560784,0.7648282131052165,0.056480780486145826,16.312251479719144,0.11296156097229165,True,1
large,sc1941,s139,invedt,0.8885759402427917,0.15650048195560784,0.7320754582871839,0.056480780486145826,15.732359443240176,0.11296156097229165,True,1
large,sc341,s24,etmodel,0.20871829246589504,0.19104302974836732,0.01767526271752773,0.21914733881259235,0.9524108008648196,0.4382946776251847,False,0
large,sc341,s24,etpool,1.5830783433042552,0.19104302974836732,1.3920353135558878,0.21914733881259235,7.223808200828996,0.4382946776251847,True,1
large,sc341,s24,etpos,1.271423540877326,0.19104302974836732,1.0803805111289586,0.21914733881259235,5.801683688089892,0.4382946776251847,True,1
large,sc341,s24,tophabs,0.18858897184335893,0.19104302974836732,-0.0024540579050083833,0.21914733881259235,0.8605578916230147,0.4382946776251847,False,0
large,sc341,s24,typical,0.18930509468274975,0.19104302974836732,-0.001737935065617563,0.21914733881259235,0.8638256604367771,0.4382946776251847,False,0
large,sc341,s24,minp,0.19045991110384616,0.19104302974836732,-0.0005831186445211523,0.21914733881259235,0.8690952495057276,0.4382946776251847,False,0
large,sc341,s24,invedt,0.19418526811352976,0.19104302974836732,0.0031422383651624475,0.21914733881259235,0.8860945753011888,0.4382946776251847,False,0
large,sc917,s74,etmodel,0.3462776742034725,0.22340331098172167,0.12287436322175083,0.11614548316610208,2.981413179092411,0.23229096633220417,True,1
large,sc917,s74,etpool,0.9860924835265426,0.22340331098172167,0.7626891725448208,0.11614548316610208,8.490149221871254,0.23229096633220417,True,1
large,sc917,s74,etpos,0.873789147149159,0.22340331098172167,0.6503858361674373,0.11614548316610208,7.523229688575447,0.23229096633220417,True,1
large,sc917,s74,tophabs,0.2971547297852766,0.22340331098172167,0.0737514188035549,0.11614548316610208,2.5584699609911596,0.23229096633220417,True,0.9375
large,sc917,s74,typical,0.3024589711491816,0.22340331098172167,0.0790556601674599,0.11614548316610208,2.604138903246273,0.23229096633220417,True,0.984375
large,sc917,s74,minp,0.3046460631418074,0.22340331098172167,0.08124275216008575,0.11614548316610208,2.622969527847473,0.23229096633220417,True,0.9609375
large,sc917,s74,invedt,0.311655158179068,0.22340331098172167,0.08825184719734636,0.11614548316610208,2.6833170751320865,0.23229096633220417,True,0.9921875
medium,sc1941,s139,etmodel,2.819851626290876,0.20450434883616744,2.6153472774547084,0.05505938566979833,51.21473100339451,0.11011877133959666,True,1
medium,sc1941,s139,etpool,0.9187078089954628,0.20450434883616744,0.7142034601592954,0.05505938566979833,16.685762069797313,0.11011877133959666,True,1
medium,sc1941,s139,etpos,0.8987759662189347,0.20450434883616744,0.6942716173827673,0.05505938566979833,16.32375580085594,0.11011877133959666,True,1
medium,sc1941,s139,tophabs,2.6244486030898115,0.20450434883616744,2.419944254253644,0.05505938566979833,47.66578070502152,0.11011877133959666,True,1
medium,sc1941,s139,typical,2.8276518991482287,0.20450434883616744,2.623147550312061,0.05505938566979833,51.35640117937745,0.11011877133959666,True,1
medium,sc1941,s139,minp,3.1136599850567426,0.20450434883616744,2.909155636220575,0.05505938566979833,56.550939447998154,0.11011877133959666,True,1
medium,sc1941,s139,invedt,2.965380302331762,0.20450434883616744,2.7608759534955944,0.05505938566979833,53.857853048265284,0.11011877133959666,True,1
medium,sc341,s24,etmodel,0.20295582440427948,0.19135910375129336,0.011596720652986114,0.2254469332791052,0.9002376810023779,0.4508938665582104,False,0
medium,sc341,s24,etpool,1.114960926613243,0.19135910375129336,0.9236018228619496,0.2254469332791052,4.945558187003201,0.4508938665582104,True,1
medium,sc341,s24,etpos,0.9440227685356908,0.19135910375129336,0.7526636647843974,0.2254469332791052,4.187339143651081,0.4508938665582104,True,1
medium,sc341,s24,tophabs,0.1961725161099274,0.19135910375129336,0.004813412358634028,0.2254469332791052,0.8701494105802015,0.4508938665582104,False,0
medium,sc341,s24,typical,0.19346956910208313,0.19135910375129336,0.002110465350789764,0.2254469332791052,0.8581601279205079,0.4508938665582104,False,0
