run,step,loss/reconstruction
small-sc341,7,111.44871520996094
small-sc341,14,111.63912200927734
small-sc341,33,109.47451782226562
small-sc341,42,106.77664184570312
small-sc341,87,90.64803314208984
small-sc341,90,88.55630493164062
small-sc341,93,87.72000122070312
small-sc341,96,87.08226776123047
small-sc341,101,85.651611328125
small-sc341,136,81.08657836914062
small-sc341,143,79.36067962646484
small-sc341,150,79.43929290771484
small-sc341,152,78.40001678466797
small-sc341,192,71.79747009277344
small-sc341,195,72.73670196533203
small-sc341,197,72.21035766601562
small-sc341,213,69.4080810546875
small-sc341,238,65.45698547363281
small-sc341,269,60.579002380371094
small-sc341,275,59.96324157714844
small-sc341,276,60.30372619628906
small-sc341,319,53.90056610107422
small-sc341,323,52.49599075317383
small-sc341,372,44.410518646240234
small-sc341,378,43.852516174316406
small-sc341,382,42.96998596191406
small-sc341,405,39.67588806152344
small-sc341,425,37.012691497802734
small-sc341,441,35.43383026123047
small-sc341,444,35.43413162231445
small-sc341,458,33.316017150878906
small-sc341,502,30.44161033630371
small-sc341,506,29.716293334960938
small-sc341,511,29.038238525390625
small-sc341,512,28.914817810058594
small-sc341,519,29.12002944946289
small-sc341,527,27.930389404296875
small-sc341,531,27.241836547851562
small-sc341,535,26.767799377441406
small-sc341,545,25.929214477539062
small-sc341,574,23.815807342529297
small-sc341,584,24.19277572631836
small-sc341,610,22.067590713500977
small-sc341,617,21.685970306396484
small-sc341,622,21.267187118530273
small-sc341,629,21.429859161376953
small-sc341,652,20.380550384521484
small-sc341,672,19.752267837524414
small-sc341,678,19.023578643798828
small-sc341,682,18.488086700439453
small-sc341,686,18.01580810546875
small-sc341,690,18.907459259033203
small-sc341,696,18.324378967285156
small-sc341,698,18.093151092529297
small-sc341,720,18.173545837402344
small-sc341,731,17.321903228759766
small-sc341,735,17.529279708862305
small-sc341,745,17.090003967285156
small-sc341,753,16.378673553466797
small-sc341,764,16.480920791625977
small-sc341,775,15.662773132324219
small-sc341,812,14.864900588989258
small-sc341,841,15.381731033325195
small-sc341,862,14.182955741882324
small-sc341,872,14.084332466125488
small-sc341,897,13.027962684631348
small-sc341,908,13.553882598876953
small-sc341,918,12.957590103149414
small-sc341,929,12.892772674560547
small-sc341,946,13.661262512207031
small-sc341,949,13.156304359436035
small-sc341,981,12.365779876708984
small-sc341,991,12.541082382202148
small-sc341,993,12.672795295715332
small-sc341,1012,12.253545761108398
small-sc341,1014,12.10130500793457
small-sc341,1021,12.372915267944336
small-sc341,1022,11.876482009887695
small-sc341,1027,11.888980865478516
small-sc341,1041,12.683418273925781
small-sc341,1064,12.175068855285645
small-sc341,1094,12.152368545532227
small-sc341,1128,11.231258392333984
small-sc341,1132,11.488094329833984
small-sc341,1134,11.440817832946777
small-sc341,1158,11.475475311279297
small-sc341,1161,11.917047500610352
small-sc341,1176,11.184062957763672
small-sc341,1215,11.973126411437988
small-sc341,1232,11.355544090270996
small-sc341,1266,11.056964874267578
small-sc341,1289,10.795503616333008
small-sc341,1300,10.46389102935791
small-sc341,1302,10.676738739013672
small-sc341,1308,11.064554214477539
small-sc341,1320,10.580631256103516
small-sc341,1336,10.450912475585938
small-sc341,1344,10.356143951416016
small-sc341,1356,10.396503448486328
small-sc341,1364,10.790199279785156
small-sc341,1370,10.352899551391602
small-sc341,1371,10.617250442504883
small-sc341,1374,10.200702667236328
small-sc341,1401,10.464616775512695
small-sc341,1420,10.066455841064453
small-sc341,1433,10.746788024902344
small-sc341,1439,10.54267692565918
small-sc341,1448,10.396003723144531
small-sc341,1462,10.797916412353516
small-sc341,1468,9.959936141967773
small-sc341,1472,10.070804595947266
small-sc341,1483,9.901334762573242
small-sc341,1512,10.276033401489258
small-sc341,1522,10.132379531860352
small-sc341,1524,9.894993782043457
small-sc341,1539,10.180280685424805
small-sc341,1551,10.040557861328125
small-sc341,1561,10.116003036499023
small-sc341,1562,9.571215629577637
small-sc341,1566,10.00166130065918
small-sc341,1567,10.076436996459961
small-sc341,1623,9.834762573242188
small-sc341,1628,9.763998031616211
small-sc341,1634,9.843087196350098
small-sc341,1660,9.652494430541992
small-sc341,1686,9.584938049316406
small-sc341,1725,9.664812088012695
small-sc341,1729,9.919219970703125
small-sc341,1739,9.608253479003906
small-sc341,1762,9.514933586120605
small-sc341,1765,9.64896011352539
small-sc341,1774,9.536931991577148
small-sc341,1805,9.944977760314941
small-sc341,1826,9.562877655029297
small-sc341,1860,9.36307144165039
small-sc341,1889,9.187623023986816
small-sc341,1938,9.203821182250977
small-sc341,1939,9.202397346496582
small-sc341,1947,9.11233139038086
small-sc341,1956,8.604354858398438
small-sc341,1965,8.975099563598633
small-sc341,1972,8.790176391601562
small-sc341,1976,9.045923233032227
small-sc341,1978,8.99606990814209
small-sc341,2009,8.818253517150879
small-sc341,2036,9.289691925048828
small-sc341,2060,9.087032318115234
small-sc341,2078,8.742755889892578
small-sc341,2090,8.944562911987305
small-sc341,2174,9.059280395507812
small-sc341,2193,9.468842506408691
small-sc341,2205,8.770011901855469
small-sc341,2206,8.784303665161133
small-sc341,2229,9.121098518371582
small-sc341,2288,8.906435012817383
small-sc341,2293,8.603133201599121
small-sc341,2311,8.82784652709961
small-sc341,2378,8.933708190917969
small-sc341,2389,8.408597946166992
small-sc341,2397,8.48218822479248
small-sc341,2430,8.540777206420898
small-sc341,2441,8.601353645324707
small-sc341,2447,8.68674373626709
small-sc341,2448,8.962640762329102
small-sc341,2464,8.664116859436035
small-sc341,2508,8.623778343200684
small-sc341,2516,8.352409362792969
small-sc341,2541,8.308429718017578
small-sc341,2548,8.442893981933594
small-sc341,2585,8.360237121582031
small-sc341,2590,8.352456092834473
small-sc341,2600,8.24184799194336
small-sc341,2606,8.016837120056152
small-sc341,2610,8.464149475097656
small-sc341,2615,8.351235389709473
small-sc341,2630,8.265602111816406
small-sc341,2650,8.479836463928223
small-sc341,2660,8.532571792602539
small-sc341,2662,8.457202911376953
small-sc341,2666,8.446920394897461
small-sc341,2733,8.326287269592285
small-sc341,2735,8.267147064208984
small-sc341,2738,8.182319641113281
small-sc341,2740,8.004059791564941
small-sc341,2746,8.30617904663086
small-sc341,2756,8.10919189453125
small-sc341,2775,8.224349975585938
small-sc341,2781,8.285626411437988
small-sc341,2796,7.71783447265625
small-sc341,2801,8.525362014770508
small-sc341,2839,8.122234344482422
small-sc341,2872,8.025945663452148
small-sc341,2884,8.040060997009277
small-sc341,2887,7.974841117858887
small-sc341,2897,8.080705642700195
small-sc341,2900,7.720861434936523
small-sc341,2903,8.134200096130371
small-sc341,2910,8.105016708374023
small-sc341,2925,8.172978401184082
small-sc341,2963,8.067481994628906
small-sc341,2969,8.046551704406738
small-sc341,2977,8.087388038635254
small-sc341,2991,7.958925247192383
small-sc341,2992,7.850639820098877
small-sc341,2993,8.037217140197754
small-sc341,3025,7.915982723236084
small-sc341,3026,7.930089473724365
small-sc341,3049,7.717369079589844
small-sc341,3051,8.039092063903809
small-sc341,3061,8.382643699645996
small-sc341,3103,7.83364725112915
small-sc341,3112,7.747363567352295
small-sc341,3135,7.657306671142578
small-sc341,3159,8.02640151977539
small-sc341,3171,8.09481430053711
small-sc341,3183,7.828845024108887
small-sc341,3190,8.057760238647461
small-sc341,3248,7.9690423011779785
small-sc341,3277,7.750544548034668
small-sc341,3289,7.670016288757324
small-sc341,3312,7.691287517547607
small-sc341,3316,7.806040287017822
small-sc341,3358,7.791193008422852
small-sc341,3376,7.710478782653809
small-sc341,3380,7.632850170135498
small-sc341,3401,7.9537153244018555
small-sc341,3402,7.877720832824707
small-sc341,3406,7.984622001647949
small-sc341,3408,7.7071428298950195
small-sc341,3415,7.976726531982422
small-sc341,3416,7.903354644775391
small-sc341,3433,7.721149921417236
small-sc341,3434,7.574151039123535
small-sc341,3435,7.8868088722229
small-sc341,3452,7.499648571014404
small-sc341,3456,7.764303207397461
small-sc341,3495,7.794939994812012
small-sc341,3503,7.599908828735352
small-sc341,3527,7.655919075012207
small-sc341,3539,7.7497124671936035
small-sc341,3548,7.620663642883301
small-sc341,3553,7.710294246673584
small-sc341,3555,7.56791877746582
small-sc341,3563,7.430366039276123
small-sc341,3578,7.69118595123291
small-sc341,3579,7.287677764892578
small-sc341,3587,7.911111831665039
small-sc341,3643,7.874640464782715
small-sc341,3646,7.691196441650391
small-sc341,3661,7.556234836578369
small-sc341,3677,7.756318092346191
small-sc341,3684,7.555027961730957
small-sc341,3707,7.649827003479004
small-sc341,3708,7.637474536895752
small-sc341,3717,7.7646484375
small-sc341,3724,7.56985330581665
small-sc341,3737,7.459133148193359
small-sc341,3779,7.5011186599731445
small-sc341,3792,7.382978439331055
small-sc341,3794,7.317258834838867
small-sc341,3800,7.556602478027344
small-sc341,3811,7.502307891845703
small-sc341,3812,7.636658191680908
small-sc341,3817,7.666290283203125
small-sc341,3854,7.537014007568359
small-sc341,3878,7.31755256652832
small-sc341,3882,7.605902671813965
small-sc341,3894,7.918397426605225
small-sc341,3897,7.425346374511719
small-sc341,3905,7.399746417999268
small-sc341,3928,7.615718364715576
small-sc341,3930,7.190611839294434
small-sc341,3954,7.429946422576904
small-sc341,4012,7.500124931335449
small-sc341,4014,7.699267864227295
small-sc341,4016,7.295560836791992
small-sc341,4024,7.2671074867248535
small-sc341,4049,7.445186614990234
small-sc341,4079,7.472682952880859
small-sc341,4092,7.500164031982422
small-sc341,4098,7.720269203186035
small-sc341,4111,7.36212682723999
small-sc341,4118,7.339089870452881
small-sc341,4125,7.35164213180542
small-sc341,4149,7.403725624084473
small-sc341,4169,7.3640546798706055
small-sc341,4180,7.309690475463867
small-sc341,4205,7.3942694664001465
small-sc341,4210,7.384912014007568
small-sc341,4240,6.971017360687256
small-sc341,4260,7.391458511352539
small-sc341,4273,7.334824562072754
small-sc341,4278,7.32557487487793
small-sc341,4280,7.506862640380859
small-sc341,4284,6.946523666381836
small-sc341,4306,7.182870864868164
small-sc341,4330,7.327864170074463
small-sc341,4352,7.4196553230285645
small-sc341,4368,6.842524528503418
small-sc341,4386,7.129861354827881
small-sc341,4394,7.059029579162598
small-sc341,4454,7.168510913848877
small-sc341,4493,7.491110801696777
small-sc341,4499,7.271181106567383
small-sc341,4543,7.415571689605713
small-sc341,4580,7.071107864379883
small-sc341,4593,7.226910591125488
small-sc341,4601,7.253317356109619
small-sc341,4605,7.2520670890808105
small-sc341,4631,7.2934370040893555
small-sc341,4634,6.968491077423096
small-sc341,4640,7.324616432189941
small-sc341,4645,7.025690078735352
small-sc341,4650,6.912623405456543
small-sc341,4654,7.2728471755981445
small-sc341,4678,7.023374557495117
small-sc341,4683,7.25047492980957
small-sc341,4703,6.8895673751831055
small-sc341,4741,7.216860294342041
small-sc341,4747,7.153903961181641
small-sc341,4759,7.140605926513672
small-sc341,4763,7.012371063232422
small-sc341,4771,6.978509902954102
small-sc341,4797,7.095139503479004
small-sc341,4821,6.971797466278076
small-sc341,4822,7.044081687927246
small-sc341,4850,7.171073913574219
small-sc341,4864,7.04573917388916
small-sc341,4891,7.026882648468018
small-sc341,4941,6.873043537139893
small-sc341,4971,7.085753440856934
small-sc341,5015,7.177237033843994
small-sc341,5032,7.181176662445068
small-sc341,5040,7.036996841430664
small-sc341,5065,7.024848937988281
small-sc341,5073,7.101696014404297
small-sc341,5107,7.027629852294922
small-sc341,5148,7.03182315826416
small-sc341,5172,7.123448371887207
small-sc341,5176,7.071844100952148
small-sc341,5185,7.091057777404785
small-sc341,5216,6.865246295928955
small-sc341,5233,6.887081146240234
small-sc341,5238,6.968756675720215
small-sc341,5271,6.681911468505859
small-sc341,5275,6.846553802490234
small-sc341,5279,6.923861026763916
small-sc341,5287,6.789423942565918
small-sc341,5302,7.136505126953125
small-sc341,5304,7.060733795166016
small-sc341,5326,7.164013862609863
small-sc341,5344,6.789246082305908
small-sc341,5348,6.7537713050842285
small-sc341,5355,6.74675989151001
small-sc341,5357,6.740475654602051
small-sc341,5369,6.931628227233887
small-sc341,5443,6.80120849609375
small-sc341,5450,6.834624767303467
small-sc341,5454,6.739850997924805
small-sc341,5463,6.82393741607666
small-sc341,5475,6.942615032196045
small-sc341,5482,6.654090404510498
small-sc341,5485,7.058356285095215
small-sc341,5494,6.816477298736572
small-sc341,5528,6.705899238586426
small-sc341,5534,6.860113143920898
small-sc341,5543,6.790744304656982
small-sc341,5546,6.668058395385742
small-sc341,5549,6.898845672607422
small-sc341,5558,6.763023853302002
small-sc341,5565,6.633101463317871
small-sc341,5566,6.843945503234863
small-sc341,5569,7.109044075012207
small-sc341,5572,6.810944557189941
small-sc341,5621,6.974299907684326
small-sc341,5641,6.657995223999023
small-sc341,5652,6.714482307434082
small-sc341,5656,7.116848945617676
small-sc341,5669,6.81680154800415
small-sc341,5671,6.74848747253418
small-sc341,5682,6.752184867858887
small-sc341,5689,6.906126022338867
small-sc341,5729,6.578071594238281
small-sc341,5749,6.859537124633789
small-sc341,5794,6.500866413116455
small-sc341,5803,6.751067161560059
small-sc341,5811,6.800859451293945
small-sc341,5829,6.889087200164795
small-sc341,5865,6.7781982421875
small-sc341,5909,6.703446388244629
small-sc341,5923,6.783176898956299
small-sc341,5986,6.565764427185059
small-sc341,5997,6.794163703918457
small-sc341,6005,7.063943386077881
small-sc341,6026,6.79277229309082
small-sc341,6032,6.81967306137085
small-sc341,6059,6.736812114715576
small-sc341,6071,6.598519325256348
small-sc341,6081,6.708220481872559
small-sc341,6127,6.607470989227295
small-sc341,6128,6.522395133972168
small-sc341,6136,6.848420143127441
small-sc341,6150,6.592414855957031
small-sc341,6154,6.624288558959961
small-sc341,6162,6.748673915863037
small-sc341,6183,6.758418083190918
small-sc341,6185,6.702939510345459
small-sc341,6186,6.693497180938721
small-sc341,6192,6.66356897354126
small-sc341,6211,6.863504409790039
small-sc341,6213,6.756291389465332
small-sc341,6215,6.703378677368164
small-sc341,6225,6.681987762451172
small-sc341,6236,6.623989582061768
small-sc341,6240,6.417239189147949
small-sc341,6260,6.6031174659729
small-sc341,6299,6.563631057739258
small-sc341,6331,6.512413024902344
small-sc341,6359,6.541568756103516
small-sc341,6409,6.8324432373046875
small-sc341,6414,6.438971519470215
small-sc341,6458,6.572723865509033
small-sc341,6475,6.4257707595825195
small-sc341,6479,6.554609298706055
small-sc341,6486,6.441353797912598
small-sc341,6487,6.2787275314331055
small-sc341,6516,6.447297096252441
small-sc341,6522,6.7022247314453125
small-sc341,6537,6.702840805053711
small-sc341,6544,6.541333198547363
small-sc341,6547,6.401369571685791
small-sc341,6553,6.453314304351807
small-sc341,6562,6.571508407592773
small-sc341,6567,6.5226664543151855
small-sc341,6604,6.617215156555176
small-sc341,6614,6.383435249328613
small-sc341,6626,6.58254337310791
small-sc341,6636,6.33369255065918
small-sc341,6642,6.459300518035889
small-sc341,6654,6.6925249099731445
small-sc341,6666,6.349241256713867
small-sc341,6686,6.518548965454102
small-sc341,6688,6.495809555053711
small-sc341,6697,6.410041332244873
small-sc341,6703,6.352577209472656
small-sc341,6741,6.269848823547363
small-sc341,6752,6.527716636657715
small-sc341,6767,6.315740585327148
small-sc341,6772,6.334901809692383
small-sc341,6790,6.406057834625244
small-sc341,6807,6.522251129150391
small-sc341,6817,6.5372467041015625
small-sc341,6844,6.38007926940918
small-sc341,6878,6.518282890319824
small-sc341,6952,6.448902606964111
small-sc341,6965,6.770166397094727
small-sc341,6970,6.5410051345825195
small-sc341,7101,6.383825302124023
small-sc341,7154,6.170620918273926
small-sc341,7188,6.414229393005371
small-sc341,7205,6.176814556121826
small-sc341,7219,6.262805938720703
small-sc341,7242,6.069140434265137
small-sc341,7276,6.5071916580200195
small-sc341,7288,6.232011795043945
small-sc341,7289,6.185625076293945
small-sc341,7309,6.135575294494629
small-sc341,7310,6.399417877197266
small-sc341,7321,6.209056854248047
small-sc341,7339,6.318426132202148
small-sc341,7366,6.315924167633057
small-sc341,7405,6.371118068695068
small-sc341,7408,6.175754070281982
small-sc341,7416,6.393249988555908
small-sc341,7461,6.418346881866455
small-sc341,7473,6.33089542388916
small-sc341,7482,6.124166488647461
small-sc341,7500,6.43815803527832
small-sc341,7519,6.355010509490967
small-sc341,7535,6.221208572387695
small-sc341,7561,6.278206825256348
small-sc341,7574,6.169261932373047
small-sc341,7602,6.215963363647461
small-sc341,7604,6.171327590942383
small-sc341,7606,6.12545108795166
small-sc341,7617,6.276280879974365
small-sc341,7620,6.240031719207764
small-sc341,7635,6.08284854888916
small-sc341,7637,6.059011936187744
small-sc341,7639,6.292547702789307
small-sc341,7654,6.2247138023376465
small-sc341,7687,6.399501323699951
small-sc341,7698,6.211943626403809
small-sc341,7715,6.2076005935668945
small-sc341,7737,6.127911567687988
small-sc341,7778,6.33682107925415
small-sc341,7781,6.418597221374512
small-sc341,7793,6.028763771057129
small-sc341,7795,6.069608688354492
small-sc341,7806,6.0724687576293945
small-sc341,7821,6.127660751342773
small-sc341,7870,6.299491882324219
small-sc341,7886,6.01416540145874
small-sc341,7899,6.117959976196289
small-sc341,7903,6.164997100830078
small-sc341,7914,6.054991722106934
small-sc341,7933,6.080587863922119
small-sc341,7943,6.09058952331543
small-sc341,7948,6.1085405349731445
small-sc341,7956,6.002780437469482
small-sc341,7973,6.021121978759766
small-sc341,8019,5.994386672973633
small-sc341,8045,6.050575256347656
small-sc341,8073,6.095185279846191
small-sc341,8075,6.056787967681885
small-sc341,8093,5.998599052429199
small-sc341,8094,5.957387447357178
small-sc341,8095,6.025317192077637
small-sc341,8117,6.142434120178223
small-sc341,8130,6.096770286560059
