run,step,loss
small-sc341-nsp-small,646,4.448145389556885
small-sc341-nsp-small,651,4.361736297607422
small-sc341-nsp-small,653,4.42742919921875
small-sc341-nsp-small,655,4.155316352844238
small-sc341-nsp-small,663,4.338895320892334
small-sc341-nsp-small,667,4.365915775299072
small-sc341-nsp-small,673,4.369607448577881
small-sc341-nsp-small,677,4.352765083312988
small-sc341-nsp-small,688,4.281966209411621
small-sc341-nsp-small,697,4.206120491027832
small-sc341-nsp-small,704,4.230515480041504
small-sc341-nsp-small,708,4.249685764312744
small-sc341-nsp-small,711,4.1729044914245605
small-sc341-nsp-small,712,4.272822856903076
small-sc341-nsp-small,715,4.362758636474609
small-sc341-nsp-small,716,4.337723255157471
small-sc341-nsp-small,722,4.271398544311523
small-sc341-nsp-small,725,4.170846939086914
small-sc341-nsp-small,738,4.207333087921143
small-sc341-nsp-small,742,4.189589500427246
small-sc341-nsp-small,743,4.254083156585693
small-sc341-nsp-small,747,4.251392364501953
small-sc341-nsp-small,748,4.185610771179199
small-sc341-nsp-small,753,4.1338629722595215
small-sc341-nsp-small,756,4.141870498657227
small-sc341-nsp-small,757,4.209547519683838
small-sc341-nsp-small,759,4.2045159339904785
small-sc341-nsp-small,763,4.165327548980713
small-sc341-nsp-small,773,4.209373950958252
small-sc341-nsp-small,782,4.12617826461792
small-sc341-nsp-small,789,4.1154937744140625
small-sc341-nsp-small,790,4.170801162719727
small-sc341-nsp-small,793,4.102779388427734
small-sc341-nsp-small,805,3.9876248836517334
small-sc341-nsp-small,815,4.192201614379883
small-sc341-nsp-small,825,3.984424114227295
small-sc341-nsp-small,835,4.134091854095459
small-sc341-nsp-small,843,4.2076029777526855
small-sc341-nsp-small,845,4.116530418395996
small-sc341-nsp-small,853,3.942456007003784
small-sc341-nsp-small,855,4.016542911529541
small-sc341-nsp-small,864,4.073279857635498
small-sc341-nsp-small,873,4.069318771362305
small-sc341-nsp-small,875,3.9322867393493652
small-sc341-nsp-small,876,4.076687812805176
small-sc341-nsp-small,885,4.050042152404785
small-sc341-nsp-small,888,3.8997340202331543
small-sc341-nsp-small,895,3.9499051570892334
small-sc341-nsp-small,906,3.8627002239227295
small-sc341-nsp-small,922,3.9999918937683105
small-sc341-nsp-small,931,3.9127988815307617
small-sc341-nsp-small,932,3.8609628677368164
small-sc341-nsp-small,943,3.987549304962158
small-sc341-nsp-small,944,3.8985745906829834
small-sc341-nsp-small,948,3.9732069969177246
small-sc341-nsp-small,954,3.8622593879699707
small-sc341-nsp-small,965,3.843468427658081
small-sc341-nsp-small,982,3.8160150051116943
small-sc341-nsp-small,983,3.827077865600586
small-sc341-nsp-small,985,3.8471579551696777
small-sc341-nsp-small,989,3.83237886428833
small-sc341-nsp-small,1001,3.751049518585205
small-sc341-nsp-small,1004,3.9578256607055664
small-sc341-nsp-small,1008,3.7173752784729004
small-sc341-nsp-small,1013,3.681417942047119
small-sc341-nsp-small,1018,3.88670015335083
small-sc341-nsp-small,1023,3.814256191253662
small-sc341-nsp-small,1029,3.665682792663574
small-sc341-nsp-small,1031,3.8832828998565674
small-sc341-nsp-small,1033,3.7023940086364746
small-sc341-nsp-small,1051,3.7942795753479004
small-sc341-nsp-small,1053,3.7987210750579834
small-sc341-nsp-small,1060,3.7903239727020264
small-sc341-nsp-small,1061,3.7552666664123535
small-sc341-nsp-small,1065,3.895638942718506
small-sc341-nsp-small,1066,3.7029292583465576
small-sc341-nsp-small,1067,3.7230072021484375
small-sc341-nsp-small,1071,3.7153358459472656
small-sc341-nsp-small,1073,3.802731990814209
small-sc341-nsp-small,1081,3.691563129425049
small-sc341-nsp-small,1083,3.713158130645752
small-sc341-nsp-small,1084,3.7092106342315674
small-sc341-nsp-small,1088,3.6928858757019043
small-sc341-nsp-small,1090,3.6471543312072754
small-sc341-nsp-small,1096,3.821798801422119
small-sc341-nsp-small,1098,3.7541747093200684
small-sc341-nsp-small,1105,3.8941867351531982
small-sc341-nsp-small,1115,3.848705768585205
small-sc341-nsp-small,1122,3.7394256591796875
small-sc341-nsp-small,1132,3.6059212684631348
small-sc341-nsp-small,1136,3.722090721130371
small-sc341-nsp-small,1142,3.680468797683716
small-sc341-nsp-small,1145,3.781325101852417
